2.6	0	0.149581	0.249694	0.301594	0.333688	0.335481	0.335613	0.352825	0.379138	0.422388	0.4656	0.482381	0.480713	0.472388	0.455263	0.444594	0.435819	0.431663	0.426394	0.413925	0.414669	0.438688	0.48145	0.540856	0.634944	0.743956	0.815638	0.856894	0.882413	0.899106	0.92265	1
2.7	0	0.129125	0.199688	0.2359	0.242694	0.248669	0.273338	0.301237	0.332563	0.3625	0.391863	0.4035	0.416238	0.436188	0.456013	0.485413	0.520256	0.550619	0.564181	0.580744	0.584231	0.593344	0.606644	0.633806	0.684119	0.729087	0.75715	0.783013	0.802519	0.822306	0.873056	1
2.8	0	0.216956	0.353294	0.434319	0.495144	0.52125	0.537425	0.541269	0.531925	0.508638	0.468788	0.428025	0.400731	0.374106	0.353494	0.328381	0.323944	0.335437	0.357094	0.398063	0.4383	0.470944	0.509413	0.546525	0.600469	0.659669	0.705738	0.737406	0.760394	0.800806	0.862056	1
2.9	0	0.2263	0.378606	0.508656	0.599369	0.636569	0.658294	0.660269	0.653969	0.638525	0.6137	0.594081	0.579381	0.547875	0.497463	0.4395	0.395706	0.358794	0.331581	0.307019	0.296125	0.304388	0.326656	0.356475	0.411225	0.469756	0.52255	0.57585	0.625313	0.686994	0.799013	1
3	0	0.176238	0.295606	0.378388	0.431188	0.459994	0.469044	0.46175	0.457725	0.449769	0.432406	0.422988	0.433006	0.45725	0.488088	0.514831	0.530363	0.527338	0.519069	0.521256	0.528188	0.535394	0.546006	0.553194	0.556438	0.557275	0.564356	0.585819	0.62735	0.704081	0.815606	1
3.1	0	0.191881	0.288612	0.345569	0.397013	0.42835	0.442306	0.442569	0.4496	0.452319	0.448794	0.4367	0.437131	0.4459	0.467181	0.48385	0.504031	0.515962	0.53125	0.525725	0.517369	0.5186	0.524575	0.541575	0.573456	0.602013	0.622106	0.649625	0.675056	0.722969	0.817913	1
3.2	0	0.232475	0.361925	0.438831	0.488056	0.523838	0.558688	0.582681	0.588719	0.583106	0.566919	0.552669	0.527294	0.496825	0.479781	0.463831	0.445281	0.4327	0.418244	0.409825	0.413463	0.421381	0.42515	0.437363	0.45565	0.479969	0.520669	0.56575	0.621669	0.698219	0.809031	1
3.3	0	0.208869	0.313787	0.3472	0.3605	0.377075	0.390263	0.404175	0.423662	0.431669	0.432069	0.4358	0.446919	0.452756	0.468319	0.479513	0.496619	0.521925	0.544737	0.564456	0.573806	0.576037	0.581825	0.590919	0.598656	0.60605	0.617094	0.62435	0.641825	0.694331	0.794794	1
3.4	0	0.248131	0.369369	0.430688	0.468769	0.495606	0.498031	0.483694	0.467275	0.457769	0.469588	0.497044	0.513919	0.517244	0.509175	0.500325	0.503113	0.504525	0.504069	0.51305	0.519519	0.513794	0.506788	0.490856	0.486788	0.496038	0.51515	0.536075	0.578031	0.643025	0.762556	1
3.5	0	0.266194	0.387169	0.438581	0.461713	0.479438	0.491425	0.49905	0.497088	0.499625	0.514413	0.510862	0.507969	0.503344	0.493931	0.493444	0.483881	0.476094	0.474019	0.472113	0.458181	0.460738	0.469338	0.489988	0.508038	0.524537	0.542981	0.565469	0.5965	0.661038	0.772844	1
3.6	0	0.221713	0.315544	0.359444	0.386387	0.408238	0.43595	0.450563	0.471913	0.490744	0.515537	0.531212	0.5558	0.567113	0.571275	0.561219	0.559813	0.558713	0.559725	0.547575	0.550681	0.537188	0.520669	0.503519	0.494125	0.500306	0.498294	0.500856	0.519444	0.584531	0.721913	1
3.7	0	0.292019	0.424712	0.497313	0.530275	0.542169	0.529406	0.519431	0.51675	0.518256	0.518925	0.516713	0.520613	0.518569	0.514863	0.507831	0.502244	0.489687	0.476288	0.466913	0.459031	0.455781	0.462888	0.458962	0.462338	0.460644	0.477019	0.499019	0.535125	0.599762	0.726456	1
3.8	0	0.299381	0.432694	0.490988	0.505525	0.508487	0.512381	0.5198	0.522369	0.523687	0.522025	0.514025	0.504619	0.504088	0.506163	0.506819	0.503469	0.500363	0.489513	0.479231	0.472981	0.464369	0.463694	0.461306	0.469788	0.472994	0.478694	0.500844	0.542575	0.6026	0.724531	1
3.9	0	0.321875	0.462144	0.516725	0.540769	0.550687	0.552631	0.552625	0.548306	0.557075	0.577775	0.582944	0.581481	0.572175	0.561981	0.545513	0.534038	0.51995	0.501306	0.4821	0.468388	0.446906	0.420688	0.4007	0.394094	0.399325	0.399925	0.418738	0.441344	0.500525	0.647269	1
