107.2	0.991555	0.898379
107.4	0.893548	0.920843
107.6	0.955244	0.905509
107.8	1.07726	0.906959
108	0.979062	0.911143
108.2	1.0607	0.900608
108.4	0.888975	0.900549
108.6	0.936253	0.884512
108.8	1.05632	0.867047
109	0.959621	0.857146
109.2	1.0058	0.846524
109.4	1.00026	0.867529
109.6	0.961863	0.916919
109.8	1.04979	0.940973
110	1.00432	0.923865
110.2	0.949604	0.931124
110.4	0.96638	0.913406
110.6	0.869909	0.920837
110.8	0.977389	0.888814
111	1.02115	0.878508
111.2	1.04778	0.891722
111.4	0.867086	0.935196
111.6	0.939448	0.87787
111.8	0.922909	0.85727
112	0.871747	0.863126
112.2	1.09621	0.867555
112.4	0.936027	0.908805
112.6	1.0261	0.942632
112.8	0.875758	0.94738
113	0.91501	0.93156
113.2	0.864876	0.904123
113.4	1.06088	0.878052
113.6	0.919265	0.860554
113.8	0.973349	0.860041
114	1.03208	0.893741
114.2	1.04199	0.912886
114.4	0.919548	0.946698
114.6	1.02688	0.940895
114.8	1.03405	0.937077
115	1.02597	0.940881
115.2	0.905536	0.938807
115.4	0.89229	0.959251
115.6	0.993538	0.977827
115.8	1.00919	0.978378
116	0.951175	0.974162
116.2	1.11628	0.977447
116.4	0.973023	0.953056
116.6	1.12251	0.922849
116.8	0.994321	0.889386
117	0.962523	0.901999
117.2	0.934116	0.924957
117.4	0.980846	0.91589
117.6	1.01429	0.892428
117.8	1.0063	0.873767
118	1.02321	0.851379
118.2	1.11466	0.84321
118.4	0.967841	0.88446
118.6	0.910386	0.897906
118.8	1.05159	0.923959
119	1.03964	0.932818
119.2	1.01497	0.925487
119.4	0.983368	0.907295
119.6	0.933729	0.882468
119.8	0.96775	0.834183
120	0.934642	0.854973
120.2	0.935274	0.859118
120.4	1.02302	0.845223
120.6	0.858435	0.895761
120.8	0.910182	0.921499
121	0.988512	0.892924
121.2	0.97985	0.835623
121.4	1.06764	0.861581
121.6	0.908376	0.892233
121.8	0.882758	0.916436
122	0.976804	0.910127
122.2	0.990935	0.894125
122.4	0.987628	0.880321
122.6	1.04293	0.897002
122.8	1.02708	0.882741
123	1.01222	0.92818
123.2	0.933335	0.948488
123.4	1.05829	0.921072
123.6	0.951119	0.897665
123.8	0.992752	0.892314
124	1.05718	0.909033
124.2	1.04599	0.90446
124.4	0.986255	0.927049
124.6	0.974208	0.927979
124.8	0.962967	0.909888
125	0.975595	0.921015
125.2	0.971096	0.89257
125.4	0.948992	0.883379
125.6	0.979072	0.936382
125.8	0.951869	0.931177
126	1.00107	0.942436
126.2	0.924462	0.907335
126.4	0.945184	0.899752
126.6	0.97274	0.929744
126.8	0.990035	0.91301
127	0.988347	0.906947
127.2	1.0137	0.937388
127.4	0.892406	0.957119
127.6	1.03668	0.952245
127.8	0.770338	0.926688
128	1.07142	0.94638
128.2	0.965037	0.941321
128.4	1.03979	0.916846
128.6	1.00652	0.906861
128.8	0.939667	0.951462
129	0.915044	0.948098
129.2	0.884456	0.978969
129.4	0.972405	0.970678
129.6	0.951997	0.938445
129.8	1.02922	0.934053
130	1.01114	0.948917
130.2	0.942932	0.976889
130.4	1.04884	0.971878
130.6	1.01916	0.974741
130.8	1.01686	0.967037
131	1.12345	0.942311
131.2	0.966155	0.950409
131.4	0.925932	0.939446
131.6	0.941138	0.955871
131.8	0.942816	0.97223
132	0.974266	0.974842
132.2	0.920981	0.972959
132.4	0.994127	0.947277
132.6	0.911836	0.929895
132.8	1.02925	0.957244
133	1.0296	0.990922
133.2	0.97374	0.974664
133.4	1.05475	0.96765
133.6	0.856002	0.958237
133.8	0.930828	0.97067
134	0.986671	0.995583
134.2	1.00284	0.968444
134.4	1.04206	0.941167
134.6	1.07269	0.961467
134.8	0.990979	0.949719
135	0.970322	0.938217
135.2	0.981595	0.97132
135.4	0.967981	0.996922
135.6	0.958438	1.01403
135.8	0.862743	0.979436
136	0.978266	0.981954
136.2	0.993475	0.994139
136.4	0.977916	0.979409
136.6	1.0313	0.990018
136.8	1.06421	0.980054
137	0.983971	1.00695
137.2	1.0083	0.990111
137.4	0.954437	0.971557
137.6	1.08341	0.962183
137.8	1.12135	0.942019
138	1.06104	0.940637
138.2	0.98156	0.933487
138.4	1.05182	0.961147
138.6	0.856169	0.982496
138.8	0.929344	1.00396
139	1.04687	1.00112
139.2	0.896882	1.00304
139.4	1.00052	0.991559
139.6	0.946691	0.960822
139.8	1.03671	0.960047
140	0.952134	0.952263
140.2	0.958403	0.982082
140.4	1.06395	0.960982
140.6	1.0138	0.984212
140.8	0.887191	0.953686
141	0.902966	0.962605
141.2	1.02812	0.987223
141.4	1.00194	0.972384
141.6	0.993267	0.977174
141.8	0.855442	0.974193
142	0.969226	0.987468
142.2	0.911532	0.948325
142.4	1.05311	0.958646
142.6	0.927493	0.999988
142.8	0.936593	0.989904
143	1.02109	0.960808
143.2	0.980648	0.966905
143.4	0.895375	0.939982
143.6	0.982793	0.974972
143.8	0.916476	0.988105
144	0.949557	0.996172
144.2	0.960042	1.02465
144.4	0.955932	1.04256
144.6	1.00536	1.03851
144.8	1.05135	1.0443
145	0.879529	1.04333
145.2	0.919196	1.03076
145.4	0.937508	0.973123
145.6	0.8496	0.975114
145.8	0.944839	0.966592
146	1.06489	0.979507
146.2	0.982528	0.995031
146.4	1.03241	1.0405
146.6	0.990136	1.0093
146.8	1.01569	1.00002
147	0.939929	0.990198
147.2	0.920134	0.992182
147.4	0.9627	1.01392
147.6	0.984573	1.00822
147.8	0.997566	0.986736
148	0.963267	0.998024
148.2	1.0152	1.00458
148.4	1.02405	1.0532
148.6	0.888416	1.0744
148.8	0.952202	1.06273
149	1.0868	1.03416
149.2	1.00499	1.02287
149.4	1.04454	1.00562
149.6	1.02209	1.03592
149.8	0.924862	1.09133
150	1.05479	1.07988
150.2	0.96495	1.04366
150.4	0.99541	1.05191
150.6	0.882638	1.06711
150.8	0.921604	1.05564
151	1.01553	1.098
151.2	0.958553	1.0819
151.4	0.970584	1.0701
151.6	0.892886	1.03835
151.8	0.942335	1.00422
152	0.950609	1.03429
152.2	0.941827	1.0634
152.4	1.01671	1.09868
152.6	1.00372	1.08648
152.8	1.00146	1.0828
153	0.985103	1.05517
153.2	0.954252	1.03598
153.4	0.991442	1.02545
153.6	1.10768	1.03763
153.8	0.974561	1.04314
154	0.900463	1.04089
154.2	1.00706	1.04313
154.4	0.889099	1.0211
154.6	0.989706	1.01403
154.8	0.94415	1.08412
155	1.02282	1.06339
155.2	0.981614	1.03488
155.4	1.01064	0.973296
155.6	0.874848	1.00189
155.8	0.911871	1.00367
156	0.996017	1.00895
156.2	0.979599	1.05754
156.4	1.01328	1.09822
156.6	0.900354	1.08969
156.8	1.07452	1.05494
157	0.961391	1.05381
157.2	0.936268	1.05173
157.4	0.987566	1.03562
157.6	1.06993	1.06538
157.8	0.924081	1.0803
158	1.0083	1.07287
158.2	1.11951	1.04161
158.4	0.971552	1.05902
158.6	1.09741	1.03416
158.8	1.01698	1.05629
159	0.99233	1.07877
159.2	1.00418	1.10969
159.4	0.996	1.08738
159.6	1.03795	1.04034
159.8	0.993001	1.05925
160	1.02928	1.07359
160.2	1.00062	1.02848
160.4	1.03036	1.05359
160.6	0.908968	1.05925
160.8	1.00852	1.04076
161	1.03334	1.04789
161.2	1.02696	1.03645
161.4	1.01408	1.04945
161.6	1.1314	1.07473
161.8	0.931596	1.05428
162	0.968174	1.05425
162.2	1.00695	1.04975
162.4	1.00395	1.06547
162.6	1.008	1.06162
162.8	1.02284	1.04815
163	1.01426	1.06011
163.2	1.07537	1.05375
163.4	1.07533	1.05078
163.6	1.10859	1.01337
163.8	0.897596	1.06514
164	1.01593	1.08693
164.2	0.990724	1.09776
164.4	0.984222	1.09822
164.6	0.920993	1.0839
164.8	1.04448	1.06078
165	1.11403	1.08558
165.2	0.951145	1.07627
165.4	0.945758	1.07704
165.6	1.03053	1.08287
165.8	0.909859	1.1124
166	1.06894	1.11508
166.2	0.90822	1.07817
166.4	0.955683	1.09969
166.6	0.961248	1.10183
166.8	0.959506	1.09848
167	0.943416	1.08192
